emotion,n_pos,n_neg,pos_target,neg_target,shift,auc,top1_pos
anger,125,125,0.7945753735303879,0.13086357789114117,0.6637117956392466,0.960832,0.88
disgust,130,130,0.2596684413979976,0.03244136249928628,0.22722707889871133,0.879112426035503,0.3230769230769231
fear,130,130,0.6498076972121802,0.19356896875139612,0.4562387284607841,0.8369230769230769,0.823076923076923
guilt,125,125,0.16231988136377185,0.03416014526830986,0.128159736095462,0.78016,0.144
joy,175,175,0.8133646186334746,0.24090642817717578,0.5724581904562989,0.8942040816326531,0.9657142857142857
sadness,160,160,0.7403934122528881,0.32833710872073424,0.4120563035321539,0.8259375,0.85625
shame,155,155,0.24124172069432756,0.06894742325154854,0.17229429744277902,0.7893028095733611,0.3032258064516129
