emotion,n_pos,n_neg,pos_target,neg_target,shift,auc,top1_pos
anger,125,125,0.1998871034234762,0.08615415168181062,0.11373295174166559,0.725056,0.152
disgust,130,130,0.07850102638252653,0.05059908375305195,0.027901942629474576,0.6662721893491125,0.06923076923076923
fear,130,130,0.5543653665397029,0.2807676134487757,0.2735977530909272,0.7372781065088757,0.7769230769230769
guilt,125,125,0.14829935098625718,0.05052276961132884,0.09777658137492834,0.71776,0.208
joy,175,175,0.7600639746338129,0.601280316784978,0.15878365784883497,0.6333714285714286,0.9657142857142857
sadness,160,160,0.7552913237421308,0.5756546929129399,0.1796366308291909,0.66703125,0.9
shame,155,155,0.17295637232056188,0.05570252195541416,0.11725385036514771,0.6981061394380853,0.25806451612903225
