emotion,n_pos,n_neg,pos_target,neg_target,shift,auc,top1_pos
anger,125,125,0.49155327005684374,0.10745402072370053,0.3840992493331432,0.878272,0.512
disgust,130,130,0.10802310463578368,0.019746091283965282,0.0882770133518184,0.8353254437869823,0.13846153846153847
fear,130,130,0.7646518094894977,0.27694019789520935,0.4877116115942884,0.8536094674556213,0.9230769230769231
guilt,125,125,0.2736577763131354,0.18226049214834347,0.09139728416479195,0.640256,0.36
joy,175,175,0.8542099968131099,0.44713404613946167,0.40707595067364827,0.7931102040816327,0.9542857142857143
sadness,160,160,0.8034385157283396,0.5477383296209155,0.25570018610742407,0.72375,0.8375
shame,155,155,0.38917056736386113,0.14352856066393396,0.24564200669992717,0.7609989594172737,0.535483870967742
